GEO,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Croatia,76156,74190,72267,69878,68873,71186,71325,67103,65431,63635,61103,64890,66035,67389,67251,67016,67054,68035,68704,69229,68220,67455,66737,65599,64888,62665,60226,59209,58525,55651,55409,51829,46970,48535,48584,50182,53811,55501,47068,45179,43746,40993,40094,39668,40307,42492,41446,41910,43753,44577,43361,41197,41771,39939,39566,37503,37537,36556
Italy,923004,929657,945842,978143,1035207,1017944,999316,962197,944837,949155,917496,911084,893223,887939,887135,842442,806540,757786,720822,683096,640401,623103,619097,601928,587871,577345,555445,551539,569698,560688,569255,562787,567841,549484,533050,525609,528103,534461,532824,537242,543144,535282,538198,544063,562599,554022,560010,563933,576659,568857,561944,546606,534186,514308,502596,485780,473438,458151
Cyprus,-1,15059,14787,14602,14224,13707,13250,12788,12403,12046,11801,11641,11620,11600,8593,8040,9295,9108,9382,9899,10383,10099,10840,10900,11005,10568,10691,10337,10752,10273,10622,10442,11372,10514,10379,9869,9638,9275,8879,8505,8447,8167,7883,8088,8309,8243,8731,8575,9205,9608,9801,9622,10161,9341,9258,9170,9455,9229
Latvia,35468,35993,35061,33843,33053,31212,31974,32232,32693,32915,34333,35239,35007,34008,34920,34810,34644,34240,34258,34683,35534,35732,37477,40572,40847,39751,41960,42135,41275,38922,37918,34633,31569,26759,24256,21595,19782,18830,18410,19396,20302,19726,20127,21151,20551,21879,22871,23958,24397,22044,19781,18825,19897,20596,21746,21979,21968,20828
Lithuania,62485,62775,59728,57024,55856,53818,54275,53806,54258,54263,55519,56044,54616,51944,51941,51766,52296,52166,51821,51937,51765,52249,53141,57589,57576,58454,59705,59360,56727,55782,56868,56019,53417,47464,42376,41195,39066,37812,37019,36415,34149,31185,29541,29977,29769,29510,29606,30020,31536,32165,30676,30268,30459,29885,30369,31475,30623,28696
Luxembourg,5019,5112,5137,5112,5229,5297,5194,4957,4704,4503,4411,4443,4086,3800,3925,3982,3915,4053,4072,4078,4169,4414,4300,4185,4192,4104,4309,4238,4603,4665,4936,4986,5149,5353,5451,5421,5689,5503,5386,5582,5723,5459,5345,5303,5452,5371,5514,5477,5596,5638,5874,5639,6026,6115,6070,6115,6050,6174
Hungary,146461,140365,130053,132335,132141,133009,138489,148886,154419,154318,151819,150640,153265,156224,186288,194240,185405,177574,168160,160364,148673,142890,133559,127258,125359,130200,128204,125840,124296,123304,125677,127206,121723,117033,115598,112054,105272,100350,97301,94645,97597,97047,96804,94647,95137,97496,99871,97613,99149,96442,90335,88049,90269,89524,93281,92135,95361,94646
Malta,8565,7674,7513,6672,6394,5628,5340,5309,5143,5096,5314,5562,5385,5272,5440,5724,5696,5793,5641,5823,5602,5292,5912,5651,5571,5430,5245,5314,5533,5584,5368,5302,5474,5147,4826,4613,5038,4843,4670,4403,4392,3957,3918,4050,3887,3858,3779,3765,4013,4029,3898,4165,4130,4032,4191,4325,4476,4319
Netherlands,239128,247407,246150,249879,250914,245216,239611,238678,237112,247588,238912,227180,214133,194993,185982,177876,177090,173296,175550,174979,181294,178569,172071,170246,174436,178136,184513,186667,186647,188979,197965,198665,196734,195748,195611,190513,189521,192443,199408,200445,206619,202603,202083,200297,194007,187910,185057,181336,184634,184915,184397,180060,175959,171341,175181,170510,172520,169836
Austria,125945,131563,133253,134809,133841,129924,128577,127404,126115,121377,112301,108510,104033,98041,97430,93757,87446,85595,85402,86388,90872,94075,94840,90118,89234,87440,86964,86589,88052,88759,90454,94629,95302,95227,92415,88669,88809,84045,81233,78138,78268,75458,78399,76944,78968,78190,77914,76250,77752,76344,78742,78109,78952,79330,81722,84381,87675,87633
